strategy,match_time_utc,event,match,market,pick,best_of,book,odds,stake,result,pl,cum_pl,clv_pp,clv_ref,close_quality,status,flagged_at_utc
bo3_dog_plus_1_5_v0,2026-07-24 11:30,,HEROIC vs The MongolZ,+1.5 maps,The MongolZ,3,Sharp,1.433,1,won,0.433,,1.11,Sharp,,quarantined,2026-07-24 00:05
bo3_dog_plus_1_5_v0,2026-07-24 13:00,,Nuclear TigeRES vs Echo,+1.5 maps,Echo,3,Sharp,1.388,1,won,0.388,,-3.64,Sharp,,ineligible,2026-07-24 01:04
bo3_dog_plus_1_5_v0,2026-07-24 16:00,,Bounty Hunters vs ODDIK,+1.5 maps,ODDIK,3,Sharp,1.503,1,won,0.503,1.018,0.47,Sharp,,selected,2026-07-23 22:06
bo3_dog_plus_1_5_v0,2026-07-24 17:00,,Privateer vs Misa,+1.5 maps,Privateer,3,Sharp,1.483,1,lost,-1.0,,-0.52,Sharp,,ineligible,2026-07-24 07:06
bo3_dog_plus_1_5_v0,2026-07-25 11:00,,Enjoy vs SAW Youngsters,+1.5 maps,SAW Youngsters,3,Sharp,1.437,1,won,0.437,1.455,5.55,Sharp,,selected,2026-07-25 02:05
bo3_dog_plus_1_5_v0,2026-07-25 13:00,,Aurora vs Echo,+1.5 maps,Echo,3,Sharp,2.19,1,lost,-1.0,0.455,0.65,Sharp,,selected,2026-07-25 08:05
bo3_dog_plus_1_5_v0,2026-07-25 16:00,,BESTIA Academy vs Isurus,+1.5 maps,BESTIA Academy,3,Sharp,1.518,1,lost,-1.0,-0.545,0.0,Sharp,,selected,2026-07-25 05:06
bo3_dog_plus_1_5_v0,2026-07-25 16:00,,ODDIK vs BORRACHEIROS,+1.5 maps,BORRACHEIROS,3,Sharp,2.04,1,won,1.04,0.495,3.09,Sharp,,selected,2026-07-25 05:06
bo3_dog_plus_1_5_v0,2026-07-25 16:00,,Ninjas in Pyjamas vs HEROIC,+1.5 maps,Ninjas in Pyjamas,3,Sharp,1.318,1,won,0.318,0.813,,,,selected,2026-07-25 07:05
bo3_dog_plus_1_5_v0,2026-07-27 14:00,,Black Phoenix vs Misa,+1.5 maps,Misa,3,Sharp,1.633,1,won,0.633,,0.18,Sharp,,quarantined,2026-07-26 23:05
bo3_dog_plus_1_5_v0,2026-07-27 14:00,,ex-RUSTEC vs Inner Circle Academy,+1.5 maps,Inner Circle Academy,3,Sharp,1.478,1,won,0.478,,0.17,Sharp,,quarantined,2026-07-27 03:05
bo3_dog_plus_1_5_v0,2026-07-27 17:00,,Bebop vs Falcons Force,+1.5 maps,Falcons Force,3,Sharp,1.524,1,won,0.524,1.337,2.33,Sharp,,selected,2026-07-26 23:05
bo3_dog_plus_1_5_v0,2026-07-27 17:00,,Just Players vs Inner Circle Academy,+1.5 maps,Inner Circle Academy,3,Sharp,1.588,1,lost,-1.0,,3.02,Sharp,,quarantined,2026-07-27 13:06
bo3_dog_plus_1_5_v0,2026-07-28 08:00,,Black Phoenix vs Enjoy,+1.5 maps,Enjoy,3,Sharp,1.36,1,won,0.36,1.697,-5.45,Sharp,,selected,2026-07-27 22:05
